Slug,Title,Date,Intro,Image,URL,Quarter,Year,Author
rosauro-varo-cobos,Colonial medicine and global health,14/6/2023,"In a series of articles, Rosauro Varo Cobos offers his perspective on racism, colonialism and global health",cism.webp (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/hXaQyxxKpVDNlVhV0C9WCA/IDsNm3Rxj-C_sKmU35mDjb9Y3gYr0N4F879-2bM9YIThTkGBmBZSn5NJXoIVju4XL5EzwVwxH5niG0LBDgoRgYzUnKG4_P5YFQeT-mLx6Rxa27WZ3TtZ35RXomErBLGI8Bh8PBOVw_7d4uuePpYY0A/1SGK38dXcc7-6bVk916Ue3du0l1aGuPVRYfIvVsnQNw),https://medium.com/ersiliaio/colonial-medicine-and-global-health-711d90a1c7f8,Q2,2023,Miquel Duran Frigola
digital-ocean-customer-story,Towards AI model deployment with the support of Digital Ocean,26/7/2023,"In this customer story, Digital Ocean explains how they have helped Ersilia through the DO Ambassadors Program",social-share-default.e8530e9e.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/67gb19sL3OGQPbCduqGb5g/nu6R_zCxSjOJKY01MOHeVhTS12es2jJLNcSkpVufhuTAvskHo3xKlhesbwQ9POO1_YOqMDRItFyZVJFiuq04g1pbHBdpM3Uf9h6llcWHtXwgTfUaBeo7Im_lTyZ0Xf0w4YGauC7ebL-ABSd6XFk0Y2ZXwek8ahQ3kgXcHHLbx_I/2a_JcvBN5Ykj17leu1R9J4HHHEGEQvrmVUrgrwF3eJU),https://www.digitalocean.com/customers/ersilia,Q3,2023,
wcair-drug-discovery,WCAIR’s drug discovery beginner’s guide for the Ersilia community,28/7/2023,"WCAIR, a leading center for anti-infective drug discovery, offered a one-month introductory course for data scientists and software engineers",IMG_20220728_101322-768x1024.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/Kt3ltW1aeaPDzkdt7taJOw/gJ7jV2zgFS4MBY7v9yrngoar3X_cEgExhPzHtwnEOfjKkR-OcaJ2DonLYg6bGFJDvWXWElpeoMAt8CytR2zpfF6HGc18QtFtYN70yqkhTNz_4kqPxKL_xfwbDzwnPgc2KQCiy4HoD_Ceo_lfAw-sXMdlZWDd-kXMu7aE_Vcf068/Vg61vEqkazFDMVmB-ZtcdXqUpS8eva3lMdbYEKzMvdA),https://medium.com/ersiliaio/wcairs-drug-discovery-beginner-s-guide-for-the-ersilia-community-3523b2487bdd,Q3,2023,Miquel Duran Frigola
splunk-for-good-partnership,Creating equitable global health: global impact partnering with Splunk,17/8/2023,Ersilia and Splunk have joined efforts to create scale up the Ersilia Model Hub,Lantern_Blog_Hero.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/6LuxoIwcxz5BdBw_YUvi8w/N-gtg0AD2-BLpty4TNjvZXs0wRHp9R49KOh9lEZTBQpeSvEu6vmr4P_0F56N9lci9h3HnGTszVL5yxhkisI8DYsLRp6Pr0VR4tFRsyFgsdgUdRCgz995CJJ7abk2SzNRFa7q_1VFpIYw9-ODzEBcDaFfOvBiX-jpO0Ikx5wSTYg/FHa2GUUktTHrh4tx3pq3EY7hzAPnPi0NhrzYuSzpCPI),https://www.splunk.com/en_us/blog/splunk-for-good/creating-equitable-global-health-global-impact-partnering-with-ersilia.html,Q3,2023,
diginomica-media-coverage,Tech for social good - how Ersilia taps into open science AI models to tackle infectious diseases,21/8/2023,The UK tech publisher Diginomica interviewed Ersilia's co-founders,jackson-david-1Y2snhZhH7M-unsplash.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/9oLkSce7cezY_Snk_Vyrmw/BsZkv9VGhZj_EJAYEWZqB3VUUts1brLEBpG7fix0X0RcmTmTR7AelKmN0qP6RyOM66nvNJ8EfgG59hRZFyB7DMzGUh0VGcB9L8QjBlabIye1Cu1JDDAKECiIIiskRvYJD9NLDCR5i3uI8zh5PisQ3e3iJ-sRr40hl_2g8xyMvOXR_0KMeQGUChuLDKpfONNq/9JdlUFm2EI2cvBoTgJUC6xljXKjVL_M_7U21b7rJ-Xw),https://diginomica.com/tech-social-good-how-ersillia-taps-open-science-ai-models-tackle-infectious-diseases,Q3,2023,
ub-cedd-course,"Witnessing the launch of the Center for Drug Discovery at the University of Buea, Cameroon",2/10/2023,"Ersilia has offered training in AI and participated in the foundational workshop of the recently inaugurated Center for Drug Discovery, supported by the Bill & Melinda Gates Foundation",IMG_20230925_171941.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/ewKsBFqKK5hPsyz0tseoqw/5oalfIZw0P5HC2zTYL1r2ijkvAUZGOtxzUHMgo1VCPhn-RC8iT6Y8eu_kG-qsB7EUq4w3ELcUy_zIZbrstOaM3yGDfUp5_tdhC2lYbzrNAsLmVOB18xfwN-QGwIHlXcK0Xs3rlMkL23ibTZcZMvxo87gS715fbCxLcIAywueuk0/6rQyrZTj0Fsv0XeztEyL3c3MRIQEHczrMStFTpjiodw),https://medium.com/ersiliaio/witnessing-the-launch-of-the-center-for-drug-discovery-at-the-university-of-buea-cameroon-cf0e27471a2b,Q4,2023,Miquel Duran Frigola
ankur-kumar-interview,From machine learning to biomedicine: a journey in code,6/10/2023,Our Trustee Alacia Armstrong interviews Ankur Kumar,IMG_6052.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/re5OVyefS-KoAqy8K75yxw/0yFIBsI2d-oGWzxFi91vOPZWaz8RaVYKEc4HhATUwgDeV9oJ0vP-O3NVaB3mJAxJ_z_KnhRpza8_LrG12tjp44ELyQ5rEmv3_1MopdaenzeXbdgAWD6Mbt5Jo1eg3bxSbwaHc-Z2LfAR3_PHC5zXLA/ca5tjJB8v4g8V0eT9FCoYglxz6UGsRWWTKqWHeOv-ag),https://medium.com/ersiliaio/from-machine-learning-to-biomedicine-a-journey-in-code-c38eb4edcf23,Q4,2023,Alacia Armstrong
calvino-centenary,Invisible cities so far,27/10/2023,"2023 marks the centenary of Italo Calvino. Our organisation, Ersilia, is named after a city imagined in his book Invisible Cities",Calvino.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/-1T2Rb_3UEkzevgmReMfrA/j-b13ClqeZgNS4eHG6YoqHEhJ5Kxo4ZA5Du9HakgNxAipq5tUvC6wuZ2LQ3jMTysUwsWXLo5YxltCGZi5UAzXmN7_h3K1K6op_5cVZPcrnKykf0vT6pP4qOV_inf6-TunhKSUurqnuMrRr5f3zkIdw/uMZPtRw3eLDS5gAH4WHt1Vv773Kb8WmBivd2zu0HshI),https://medium.com/ersiliaio/invisible-cities-so-far-748248bee9d7,Q4,2023,Miquel Duran Frigola
skill-based-volunteering,Four success stories of skills-based volunteering at Ersilia,18/12/2023,"We have found that skill-based volunteering is an effective strategy for enabling open source contributions in biomedical research from software developers who, despite not specialising in this field, are keen to participate",IMG_6077.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/a8jsiTEutzQ7hNbgGXPNdg/E-RiAQ6nl9ZTd8_DvMkyCZjvfXLL9JezZ1KxqQvtFimV0JdrzdvjIboqKoqEoOzgsMShbHwb5ofIhD5186xLmvFEfmZLhq7VTirlrmwDl-Dkd9csBGBuySITy--VMBEzMfNdy0rrJ8gTedu2yfTIUQ/osOkSvTT5IYQBZ3DEemIx_qx3QfRgLufuin1jTi_AT8),https://medium.com/ersiliaio/four-success-stories-of-skills-based-volunteering-at-ersilia-83b4fe2c6589,Q4,2023,Miquel Duran Frigola
gdi-model-inference,Pipeline Dreams: SMILES All Around as MLOps Boosts Drug Discovery,6/1/2024,The Good Data Institute wrote this piece on the model inference pipeline they built for Ersilia,30c761_bee7ee2e5e5643fa86eb13760927ea8d~mv2.webp (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/nWtDxjo3XMrAegOxdFweHg/g7-4Q-zxEvkQuq0nxxsEgmzr2ccsV3KrRdwYH5wgI1-1CgYZJGWkad4yfPZAeXCOrgOiH7kNjwVL6OX6q9wnDVkbyP35OfK_pm8xaQJrAW7dSWLr9gp01hGoANGbyqBkRAti_owt0lt4V7lSaHTu9pChuFby_6Y8qkpG5ylj6wyJlvCjyf4lkRl541NDXzj6/rFcjRxLGweiMfpxugcQ9Rtoedx-UXYk8nwF6HojIun0),https://www.gooddatainstitute.com/post/pipeline-dreams-smiles-all-around-as-mlops-boosts-drug-discovery,Q1,2024,David Cole
nature-commun-ssi,Ersilia: AI as a tool for drug discovery in Africa,19/1/2024,The SSI Fellowship supported the open access publication of our work with H3D,RSEcon24 (10).png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/Ca2-m1ETkkYsNmd5ZyYevg/5gBNri0lcnq6eOyHn621-Tr9USpH1dbNGBNf4x18fMkkb_42np_jHbYc2Ct35Ct3stTz1e12LkJcRl4Q8Z4RPVxcEevydb80QotidQ3A2IUEczmmMTvZPfOv-TwQRVB17qEIM2pO8xzGxRQ3SKCNkQ/X0wEa6ja0hKbJzlDrZ2bPCpoNP0bPGMsVA3jb9YKwXs),https://www.software.ac.uk/blog/ersilia-ai-tool-drug-discovery-africa,Q1,2024,Gemma Turon Rodrigo
brazmedchem-ssi,BrazMedChem: attending the largest medicinal chemistry conference in Latin America,13/2/2024,Gemma was invited to give a lecture at the 2023 BrazMedChem conference in Salvador de Bahia,Image-2.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/hiPczBD998DKvV88mGAZ8w/s6r58X7frE4dhC8uFB0yPTAGh3QKU1ozmqTkqJrYlKDa6ubADKka3ojHrMaI_YbYtx7B9_FDQ2QsZjbmbO1hNVxgYoWkFUqk12hgP9MaRzf2GNfAaZli50rKEab_umHvd-yDi9OUVP59W5MkT_oDxg/WQq_QNCgt4CyblAnCLyxA2QXSsU3eW98wcnMljK5YvU),https://www.software.ac.uk/blog/brazmedchem-attending-largest-medicinal-chemistry-conference-latin-america,Q1,2024,Gemma Turon Rodrigo
chemoproteomics-cemm,Providing data science support to important drug discovery studies— the largest chemoproteomics screen available to date,26/4/2024,"We have analysed the results of a proteome-wide ligand screening experiment carried out by Georg Winter’s lab at CeMM, Vienna",1_LPWGJRLgfys9Tptyb5o16A.webp (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/b9s7Wa0mQlrwAsRMBzN4Yg/8ImpOEiHZ-RWAvGyie5p2TtN_kJVwLShRrwZIXwVwXhQlc6rQOGZGYn3aF4ypNzH3i7GnNje7ZMWC3o0VbtOfLv0lnrJn2L8rEyYdmeTsH2EMJJlQtGbNCT9p1Bh_cmvY1RMAJqNQGuivdIil3nfl7gccm3YEaNdxyWz-UF4cDiSReCSJmrETcjfnUySmprF/QxtVRjOBoZPCrCBoRkgbkuMf1XuBdFKZqfWi-7PyROc),https://medium.com/ersiliaio/providing-data-science-support-to-important-drug-discovery-studies-the-largest-chemoproteomics-f62528a03c27,Q2,2024,Miquel Duran Frigola
